localsymbol,secType,symbol,expiry,right,multiplier,strike
SPY   141114P00207500,OPT,SPY,20141114,P,100,207.5
SPY   141114P00207000,OPT,SPY,20141114,P,100,207
SPY   141114P00208500,OPT,SPY,20141114,P,100,208.5
SPY   141114P00208000,OPT,SPY,20141114,P,100,208
SPY   141114P00209500,OPT,SPY,20141114,P,100,209.5
SPY   141114P00209000,OPT,SPY,20141114,P,100,209
SPY   141114P00210000,OPT,SPY,20141114,P,100,210
SPY   141114P00212500,OPT,SPY,20141114,P,100,212.5
SPY   141114P00215000,OPT,SPY,20141114,P,100,215
SPY   141114P00217500,OPT,SPY,20141114,P,100,217.5
SPY   141114P00220000,OPT,SPY,20141114,P,100,220
SPY   141114P00222500,OPT,SPY,20141114,P,100,222.5
SPY   141114P00225000,OPT,SPY,20141114,P,100,225
SPY   141114P00227500,OPT,SPY,20141114,P,100,227.5
SPY   141114P00230000,OPT,SPY,20141114,P,100,230
SPY   141114P00232500,OPT,SPY,20141114,P,100,232.5
SPY   141114P00235000,OPT,SPY,20141114,P,100,235
SPY   141114P00237500,OPT,SPY,20141114,P,100,237.5
SPY   141114P00240000,OPT,SPY,20141114,P,100,240
SPY   141114P00242500,OPT,SPY,20141114,P,100,242.5
SPY   141114P00245000,OPT,SPY,20141114,P,100,245
SPY   141114P00247500,OPT,SPY,20141114,P,100,247.5
SPY   141114P00250000,OPT,SPY,20141114,P,100,250
SPY7  141114C00187500,OPT,SPY,20141114,C,10,187.5
SPY7  141114C00187000,OPT,SPY,20141114,C,10,187
SPY7  141114C00188500,OPT,SPY,20141114,C,10,188.5
SPY7  141114C00188000,OPT,SPY,20141114,C,10,188
SPY7  141114C00189500,OPT,SPY,20141114,C,10,189.5
SPY7  141114C00189000,OPT,SPY,20141114,C,10,189
SPY7  141114C00190500,OPT,SPY,20141114,C,10,190.5
SPY7  141114C00190000,OPT,SPY,20141114,C,10,190
SPY7  141114C00191500,OPT,SPY,20141114,C,10,191.5
